,Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
32,AUD,AUD_6M,02/04/1993,15/12/1993,2,7Y,0.082139118
33,AUD,AUD_6M,02/04/1993,15/12/1993,2,10Y,0.083681838
35,AUD,AUD_6M,02/04/1993,15/12/1993,2,30Y,0.083480082
36,AUD,AUD_6M,05/04/1993,06/04/1993,0,3Y,0.068357593
37,AUD,AUD_6M,05/04/1993,06/04/1993,0,5Y,0.074504394
38,AUD,AUD_6M,05/04/1993,06/04/1993,0,7Y,0.078800843
39,AUD,AUD_6M,05/04/1993,06/04/1993,0,10Y,0.081902813
41,AUD,AUD_6M,05/04/1993,06/04/1993,0,30Y,0.082883644
42,AUD,AUD_6M,05/04/1993,16/06/1993,1,3Y,0.07027948
43,AUD,AUD_6M,05/04/1993,16/06/1993,1,5Y,0.075984694
44,AUD,AUD_6M,05/04/1993,16/06/1993,1,7Y,0.079995875
45,AUD,AUD_6M,05/04/1993,16/06/1993,1,10Y,0.082727913
47,AUD,AUD_6M,05/04/1993,16/06/1993,1,30Y,0.083396636
48,AUD,AUD_6M,05/04/1993,15/12/1993,2,3Y,0.075412468
49,AUD,AUD_6M,05/04/1993,15/12/1993,2,5Y,0.079996093
50,AUD,AUD_6M,05/04/1993,15/12/1993,2,7Y,0.083130671
51,AUD,AUD_6M,05/04/1993,15/12/1993,2,10Y,0.084901866
53,AUD,AUD_6M,05/04/1993,15/12/1993,2,30Y,0.084748203
54,AUD,AUD_6M,06/04/1993,07/04/1993,0,3Y,0.067038262
55,AUD,AUD_6M,06/04/1993,07/04/1993,0,5Y,0.073303468
56,AUD,AUD_6M,06/04/1993,07/04/1993,0,7Y,0.07750013
57,AUD,AUD_6M,06/04/1993,07/04/1993,0,10Y,0.080502647
59,AUD,AUD_6M,06/04/1993,07/04/1993,0,30Y,0.081450477
60,AUD,AUD_6M,06/04/1993,16/06/1993,1,3Y,0.068858548
61,AUD,AUD_6M,06/04/1993,16/06/1993,1,5Y,0.074708452
62,AUD,AUD_6M,06/04/1993,16/06/1993,1,7Y,0.078630227
63,AUD,AUD_6M,06/04/1993,16/06/1993,1,10Y,0.081279205
65,AUD,AUD_6M,06/04/1993,16/06/1993,1,30Y,0.081929166
66,AUD,AUD_6M,06/04/1993,15/12/1993,2,3Y,0.073950791
67,AUD,AUD_6M,06/04/1993,15/12/1993,2,5Y,0.078602686
68,AUD,AUD_6M,06/04/1993,15/12/1993,2,7Y,0.081663596
69,AUD,AUD_6M,06/04/1993,15/12/1993,2,10Y,0.083375373
71,AUD,AUD_6M,06/04/1993,15/12/1993,2,30Y,0.083222502
72,AUD,AUD_6M,07/04/1993,08/04/1993,0,3Y,0.065723605
73,AUD,AUD_6M,07/04/1993,08/04/1993,0,5Y,0.072005338
74,AUD,AUD_6M,07/04/1993,08/04/1993,0,7Y,0.076201568
75,AUD,AUD_6M,07/04/1993,08/04/1993,0,10Y,0.07910382
77,AUD,AUD_6M,07/04/1993,08/04/1993,0,30Y,0.080028089
78,AUD,AUD_6M,07/04/1993,16/06/1993,1,3Y,0.06742897
79,AUD,AUD_6M,07/04/1993,16/06/1993,1,5Y,0.073345521
80,AUD,AUD_6M,07/04/1993,16/06/1993,1,7Y,0.077262046
81,AUD,AUD_6M,07/04/1993,16/06/1993,1,10Y,0.079832705
83,AUD,AUD_6M,07/04/1993,16/06/1993,1,30Y,0.080474169
84,AUD,AUD_6M,07/04/1993,15/12/1993,2,3Y,0.072696932
85,AUD,AUD_6M,07/04/1993,15/12/1993,2,5Y,0.077404872
86,AUD,AUD_6M,07/04/1993,15/12/1993,2,7Y,0.080400667
87,AUD,AUD_6M,07/04/1993,15/12/1993,2,10Y,0.082008991
89,AUD,AUD_6M,07/04/1993,15/12/1993,2,30Y,0.081806979
90,AUD,AUD_6M,08/04/1993,09/04/1993,0,3Y,0.065816671
91,AUD,AUD_6M,08/04/1993,09/04/1993,0,5Y,0.071728501
92,AUD,AUD_6M,08/04/1993,09/04/1993,0,7Y,0.075249352
93,AUD,AUD_6M,08/04/1993,09/04/1993,0,10Y,0.078155693
95,AUD,AUD_6M,08/04/1993,09/04/1993,0,30Y,0.07904373
96,AUD,AUD_6M,08/04/1993,16/06/1993,1,3Y,0.067487345
97,AUD,AUD_6M,08/04/1993,16/06/1993,1,5Y,0.072957164
98,AUD,AUD_6M,08/04/1993,16/06/1993,1,7Y,0.076233986
99,AUD,AUD_6M,08/04/1993,16/06/1993,1,10Y,0.0788484
101,AUD,AUD_6M,08/04/1993,16/06/1993,1,30Y,0.079460298
102,AUD,AUD_6M,08/04/1993,15/12/1993,2,3Y,0.072264957
103,AUD,AUD_6M,08/04/1993,15/12/1993,2,5Y,0.076435949
104,AUD,AUD_6M,08/04/1993,15/12/1993,2,7Y,0.078994467
105,AUD,AUD_6M,08/04/1993,15/12/1993,2,10Y,0.080761574
107,AUD,AUD_6M,08/04/1993,15/12/1993,2,30Y,0.080624979
108,AUD,AUD_6M,09/04/1993,12/04/1993,0,3Y,0.065881591
109,AUD,AUD_6M,09/04/1993,12/04/1993,0,5Y,0.071785129
110,AUD,AUD_6M,09/04/1993,12/04/1993,0,7Y,0.075286136
111,AUD,AUD_6M,09/04/1993,12/04/1993,0,10Y,0.078192802
113,AUD,AUD_6M,09/04/1993,12/04/1993,0,30Y,0.079060726
114,AUD,AUD_6M,09/04/1993,16/06/1993,1,3Y,0.067487345
115,AUD,AUD_6M,09/04/1993,16/06/1993,1,5Y,0.072957164
116,AUD,AUD_6M,09/04/1993,16/06/1993,1,7Y,0.076233986
117,AUD,AUD_6M,09/04/1993,16/06/1993,1,10Y,0.0788484
119,AUD,AUD_6M,09/04/1993,16/06/1993,1,30Y,0.079460298
120,AUD,AUD_6M,09/04/1993,15/12/1993,2,3Y,0.072264957
121,AUD,AUD_6M,09/04/1993,15/12/1993,2,5Y,0.076435949
122,AUD,AUD_6M,09/04/1993,15/12/1993,2,7Y,0.078994467
123,AUD,AUD_6M,09/04/1993,15/12/1993,2,10Y,0.080761574
125,AUD,AUD_6M,09/04/1993,15/12/1993,2,30Y,0.080624979
126,AUD,AUD_6M,12/04/1993,13/04/1993,0,3Y,0.065931
127,AUD,AUD_6M,12/04/1993,13/04/1993,0,5Y,0.071797735
128,AUD,AUD_6M,12/04/1993,13/04/1993,0,7Y,0.07530082
129,AUD,AUD_6M,12/04/1993,13/04/1993,0,10Y,0.078202745
131,AUD,AUD_6M,12/04/1993,13/04/1993,0,30Y,0.079067041
132,AUD,AUD_6M,12/04/1993,16/06/1993,1,3Y,0.067487345
133,AUD,AUD_6M,12/04/1993,16/06/1993,1,5Y,0.072957164
134,AUD,AUD_6M,12/04/1993,16/06/1993,1,7Y,0.076233986
135,AUD,AUD_6M,12/04/1993,16/06/1993,1,10Y,0.0788484
137,AUD,AUD_6M,12/04/1993,16/06/1993,1,30Y,0.079460298
138,AUD,AUD_6M,12/04/1993,15/12/1993,2,3Y,0.072264957
139,AUD,AUD_6M,12/04/1993,15/12/1993,2,5Y,0.076435949
140,AUD,AUD_6M,12/04/1993,15/12/1993,2,7Y,0.078994467
141,AUD,AUD_6M,12/04/1993,15/12/1993,2,10Y,0.080761574
143,AUD,AUD_6M,12/04/1993,15/12/1993,2,30Y,0.080624979
144,AUD,AUD_6M,13/04/1993,14/04/1993,0,3Y,0.064611407
145,AUD,AUD_6M,13/04/1993,14/04/1993,0,5Y,0.070403543
146,AUD,AUD_6M,13/04/1993,14/04/1993,0,7Y,0.073800199
147,AUD,AUD_6M,13/04/1993,14/04/1993,0,10Y,0.076602716
149,AUD,AUD_6M,13/04/1993,14/04/1993,0,30Y,0.077432262
150,AUD,AUD_6M,13/04/1993,16/06/1993,1,3Y,0.066088114
151,AUD,AUD_6M,13/04/1993,16/06/1993,1,5Y,0.071480832
152,AUD,AUD_6M,13/04/1993,16/06/1993,1,7Y,0.074667939
153,AUD,AUD_6M,13/04/1993,16/06/1993,1,10Y,0.077199481
155,AUD,AUD_6M,13/04/1993,16/06/1993,1,30Y,0.077792145
156,AUD,AUD_6M,13/04/1993,15/12/1993,2,3Y,0.070772386
157,AUD,AUD_6M,13/04/1993,15/12/1993,2,5Y,0.074833533
158,AUD,AUD_6M,13/04/1993,15/12/1993,2,7Y,0.077324637
159,AUD,AUD_6M,13/04/1993,15/12/1993,2,10Y,0.079033818
161,AUD,AUD_6M,13/04/1993,15/12/1993,2,30Y,0.078898897
162,AUD,AUD_6M,14/04/1993,15/04/1993,0,3Y,0.064516135
163,AUD,AUD_6M,14/04/1993,15/04/1993,0,5Y,0.070105316
164,AUD,AUD_6M,14/04/1993,15/04/1993,0,7Y,0.073801548
165,AUD,AUD_6M,14/04/1993,15/04/1993,0,10Y,0.076703811
167,AUD,AUD_6M,14/04/1993,15/04/1993,0,30Y,0.077561057
168,AUD,AUD_6M,14/04/1993,16/06/1993,1,3Y,0.06593587
169,AUD,AUD_6M,14/04/1993,16/06/1993,1,5Y,0.071166918
170,AUD,AUD_6M,14/04/1993,16/06/1993,1,7Y,0.074655588
171,AUD,AUD_6M,14/04/1993,16/06/1993,1,10Y,0.07729039
173,AUD,AUD_6M,14/04/1993,16/06/1993,1,30Y,0.07791504
174,AUD,AUD_6M,14/04/1993,15/12/1993,2,3Y,0.070431517
175,AUD,AUD_6M,14/04/1993,15/12/1993,2,5Y,0.074568563
176,AUD,AUD_6M,14/04/1993,15/12/1993,2,7Y,0.077344397
177,AUD,AUD_6M,14/04/1993,15/12/1993,2,10Y,0.079131256
179,AUD,AUD_6M,14/04/1993,15/12/1993,2,30Y,0.079027114
180,AUD,AUD_6M,15/04/1993,16/04/1993,0,3Y,0.065029417
181,AUD,AUD_6M,15/04/1993,16/04/1993,0,5Y,0.070607431
182,AUD,AUD_6M,15/04/1993,16/04/1993,0,7Y,0.074603572
183,AUD,AUD_6M,15/04/1993,16/04/1993,0,10Y,0.077604995
185,AUD,AUD_6M,15/04/1993,16/04/1993,0,30Y,0.078497372
186,AUD,AUD_6M,15/04/1993,16/06/1993,1,3Y,0.066461285
187,AUD,AUD_6M,15/04/1993,16/06/1993,1,5Y,0.071685243
188,AUD,AUD_6M,15/04/1993,16/06/1993,1,7Y,0.075485008
189,AUD,AUD_6M,15/04/1993,16/06/1993,1,10Y,0.078205338
191,AUD,AUD_6M,15/04/1993,16/06/1993,1,30Y,0.078861663
192,AUD,AUD_6M,15/04/1993,15/12/1993,2,3Y,0.071103894
193,AUD,AUD_6M,15/04/1993,15/12/1993,2,5Y,0.075222166
194,AUD,AUD_6M,15/04/1993,15/12/1993,2,7Y,0.078277052
195,AUD,AUD_6M,15/04/1993,15/12/1993,2,10Y,0.080110915
197,AUD,AUD_6M,15/04/1993,15/12/1993,2,30Y,0.080019119
198,AUD,AUD_6M,16/04/1993,19/04/1993,0,3Y,0.064511
199,AUD,AUD_6M,16/04/1993,19/04/1993,0,5Y,0.070103109
200,AUD,AUD_6M,16/04/1993,19/04/1993,0,7Y,0.074100875
201,AUD,AUD_6M,16/04/1993,19/04/1993,0,10Y,0.077000369
203,AUD,AUD_6M,16/04/1993,19/04/1993,0,30Y,0.07787332
204,AUD,AUD_6M,16/04/1993,16/06/1993,1,3Y,0.065816103
205,AUD,AUD_6M,16/04/1993,16/06/1993,1,5Y,0.07111046
206,AUD,AUD_6M,16/04/1993,16/06/1993,1,7Y,0.074926252
207,AUD,AUD_6M,16/04/1993,16/06/1993,1,10Y,0.077557542
209,AUD,AUD_6M,16/04/1993,16/06/1993,1,30Y,0.078210002
210,AUD,AUD_6M,16/04/1993,15/12/1993,2,3Y,0.070336833
211,AUD,AUD_6M,16/04/1993,15/12/1993,2,5Y,0.074633589
212,AUD,AUD_6M,16/04/1993,15/12/1993,2,7Y,0.077683489
213,AUD,AUD_6M,16/04/1993,15/12/1993,2,10Y,0.079435834
215,AUD,AUD_6M,16/04/1993,15/12/1993,2,30Y,0.079346834
216,AUD,AUD_6M,19/04/1993,20/04/1993,0,3Y,0.064611
217,AUD,AUD_6M,19/04/1993,20/04/1993,0,5Y,0.070204134
218,AUD,AUD_6M,19/04/1993,20/04/1993,0,7Y,0.074000639
219,AUD,AUD_6M,19/04/1993,20/04/1993,0,10Y,0.076900464
221,AUD,AUD_6M,19/04/1993,20/04/1993,0,30Y,0.077767106
222,AUD,AUD_6M,19/04/1993,16/06/1993,1,3Y,0.065909498
223,AUD,AUD_6M,19/04/1993,16/06/1993,1,5Y,0.071193094
224,AUD,AUD_6M,19/04/1993,16/06/1993,1,7Y,0.074804452
225,AUD,AUD_6M,19/04/1993,16/06/1993,1,10Y,0.077447467
227,AUD,AUD_6M,19/04/1993,16/06/1993,1,30Y,0.078097151
228,AUD,AUD_6M,19/04/1993,15/12/1993,2,3Y,0.070472416
229,AUD,AUD_6M,19/04/1993,15/12/1993,2,5Y,0.074669625
230,AUD,AUD_6M,19/04/1993,15/12/1993,2,7Y,0.077542653
231,AUD,AUD_6M,19/04/1993,15/12/1993,2,10Y,0.079322568
233,AUD,AUD_6M,19/04/1993,15/12/1993,2,30Y,0.079231281
234,AUD,AUD_6M,20/04/1993,21/04/1993,0,3Y,0.065020616
235,AUD,AUD_6M,20/04/1993,21/04/1993,0,5Y,0.070702787
236,AUD,AUD_6M,20/04/1993,21/04/1993,0,7Y,0.074578473
237,AUD,AUD_6M,20/04/1993,21/04/1993,0,10Y,0.0774
239,AUD,AUD_6M,20/04/1993,21/04/1993,0,30Y,0.078267642
240,AUD,AUD_6M,20/04/1993,16/06/1993,1,3Y,0.066342407
241,AUD,AUD_6M,20/04/1993,16/06/1993,1,5Y,0.07171201
242,AUD,AUD_6M,20/04/1993,16/06/1993,1,7Y,0.075392174
243,AUD,AUD_6M,20/04/1993,16/06/1993,1,10Y,0.077955099
245,AUD,AUD_6M,20/04/1993,16/06/1993,1,30Y,0.078603235
246,AUD,AUD_6M,20/04/1993,15/12/1993,2,3Y,0.071019544
247,AUD,AUD_6M,20/04/1993,15/12/1993,2,5Y,0.075318996
248,AUD,AUD_6M,20/04/1993,15/12/1993,2,7Y,0.078209847
249,AUD,AUD_6M,20/04/1993,15/12/1993,2,10Y,0.079891629
251,AUD,AUD_6M,20/04/1993,15/12/1993,2,30Y,0.07977747
252,AUD,AUD_6M,21/04/1993,22/04/1993,0,3Y,0.06472599
253,AUD,AUD_6M,21/04/1993,22/04/1993,0,5Y,0.070605215
254,AUD,AUD_6M,21/04/1993,22/04/1993,0,7Y,0.074592796
255,AUD,AUD_6M,21/04/1993,22/04/1993,0,10Y,0.077503669
257,AUD,AUD_6M,21/04/1993,22/04/1993,0,30Y,0.07839246
258,AUD,AUD_6M,21/04/1993,16/06/1993,1,3Y,0.066013141
259,AUD,AUD_6M,21/04/1993,16/06/1993,1,5Y,0.071601949
260,AUD,AUD_6M,21/04/1993,16/06/1993,1,7Y,0.075387917
261,AUD,AUD_6M,21/04/1993,16/06/1993,1,10Y,0.078048944
263,AUD,AUD_6M,21/04/1993,16/06/1993,1,30Y,0.078722886
264,AUD,AUD_6M,21/04/1993,15/12/1993,2,3Y,0.070663632
265,AUD,AUD_6M,21/04/1993,15/12/1993,2,5Y,0.075210605
266,AUD,AUD_6M,21/04/1993,15/12/1993,2,7Y,0.078210355
267,AUD,AUD_6M,21/04/1993,15/12/1993,2,10Y,0.079981767
269,AUD,AUD_6M,21/04/1993,15/12/1993,2,30Y,0.079896166
270,AUD,AUD_6M,22/04/1993,23/04/1993,0,3Y,0.065129195
271,AUD,AUD_6M,22/04/1993,23/04/1993,0,5Y,0.070907284
272,AUD,AUD_6M,22/04/1993,23/04/1993,0,7Y,0.07469512
273,AUD,AUD_6M,22/04/1993,23/04/1993,0,10Y,0.077604931
275,AUD,AUD_6M,22/04/1993,23/04/1993,0,30Y,0.078480452
276,AUD,AUD_6M,22/04/1993,16/06/1993,1,3Y,0.06638794
277,AUD,AUD_6M,22/04/1993,16/06/1993,1,5Y,0.071878871
278,AUD,AUD_6M,22/04/1993,16/06/1993,1,7Y,0.075472028
279,AUD,AUD_6M,22/04/1993,16/06/1993,1,10Y,0.078138753
281,AUD,AUD_6M,22/04/1993,16/06/1993,1,30Y,0.078804015
282,AUD,AUD_6M,22/04/1993,15/12/1993,2,3Y,0.071036731
283,AUD,AUD_6M,22/04/1993,15/12/1993,2,5Y,0.075459171
284,AUD,AUD_6M,22/04/1993,15/12/1993,2,7Y,0.078287161
285,AUD,AUD_6M,22/04/1993,15/12/1993,2,10Y,0.0800772
287,AUD,AUD_6M,22/04/1993,15/12/1993,2,30Y,0.079980901
288,AUD,AUD_6M,23/04/1993,26/04/1993,0,3Y,0.0643669
289,AUD,AUD_6M,23/04/1993,26/04/1993,0,5Y,0.070093447
290,AUD,AUD_6M,23/04/1993,26/04/1993,0,7Y,0.074086993
291,AUD,AUD_6M,23/04/1993,26/04/1993,0,10Y,0.076993769
293,AUD,AUD_6M,23/04/1993,26/04/1993,0,30Y,0.077876103
294,AUD,AUD_6M,23/04/1993,16/06/1993,1,3Y,0.065480874
295,AUD,AUD_6M,23/04/1993,16/06/1993,1,5Y,0.070999199
296,AUD,AUD_6M,23/04/1993,16/06/1993,1,7Y,0.074814637
297,AUD,AUD_6M,23/04/1993,16/06/1993,1,10Y,0.077484102
299,AUD,AUD_6M,23/04/1993,16/06/1993,1,30Y,0.078173212
300,AUD,AUD_6M,23/04/1993,15/12/1993,2,3Y,0.069769157
301,AUD,AUD_6M,23/04/1993,15/12/1993,2,5Y,0.074560035
302,AUD,AUD_6M,23/04/1993,15/12/1993,2,7Y,0.077584832
303,AUD,AUD_6M,23/04/1993,15/12/1993,2,10Y,0.079373527
305,AUD,AUD_6M,23/04/1993,15/12/1993,2,30Y,0.079316998
306,AUD,AUD_6M,26/04/1993,27/04/1993,0,3Y,0.064411
307,AUD,AUD_6M,26/04/1993,27/04/1993,0,5Y,0.070104682
308,AUD,AUD_6M,26/04/1993,27/04/1993,0,7Y,0.07410106
309,AUD,AUD_6M,26/04/1993,27/04/1993,0,10Y,0.077002958
311,AUD,AUD_6M,26/04/1993,27/04/1993,0,30Y,0.077881741
312,AUD,AUD_6M,26/04/1993,16/06/1993,1,3Y,0.065480874
313,AUD,AUD_6M,26/04/1993,16/06/1993,1,5Y,0.070999199
314,AUD,AUD_6M,26/04/1993,16/06/1993,1,7Y,0.074814637
315,AUD,AUD_6M,26/04/1993,16/06/1993,1,10Y,0.077484102
317,AUD,AUD_6M,26/04/1993,16/06/1993,1,30Y,0.078173212
318,AUD,AUD_6M,26/04/1993,15/12/1993,2,3Y,0.069769157
319,AUD,AUD_6M,26/04/1993,15/12/1993,2,5Y,0.074560035
320,AUD,AUD_6M,26/04/1993,15/12/1993,2,7Y,0.077584832
321,AUD,AUD_6M,26/04/1993,15/12/1993,2,10Y,0.079373527
323,AUD,AUD_6M,26/04/1993,15/12/1993,2,30Y,0.079316998
324,AUD,AUD_6M,27/04/1993,28/04/1993,0,3Y,0.064920973
325,AUD,AUD_6M,27/04/1993,28/04/1993,0,5Y,0.070603072
326,AUD,AUD_6M,27/04/1993,28/04/1993,0,7Y,0.074799824
327,AUD,AUD_6M,27/04/1993,28/04/1993,0,10Y,0.077502301
329,AUD,AUD_6M,27/04/1993,28/04/1993,0,30Y,0.078366284
330,AUD,AUD_6M,27/04/1993,16/06/1993,1,3Y,0.066022613
331,AUD,AUD_6M,27/04/1993,16/06/1993,1,5Y,0.07150783
332,AUD,AUD_6M,27/04/1993,16/06/1993,1,7Y,0.075521906
333,AUD,AUD_6M,27/04/1993,16/06/1993,1,10Y,0.07798825
335,AUD,AUD_6M,27/04/1993,16/06/1993,1,30Y,0.078661022
336,AUD,AUD_6M,27/04/1993,15/12/1993,2,3Y,0.070493261
337,AUD,AUD_6M,27/04/1993,15/12/1993,2,5Y,0.075202176
338,AUD,AUD_6M,27/04/1993,15/12/1993,2,7Y,0.078357085
339,AUD,AUD_6M,27/04/1993,15/12/1993,2,10Y,0.079922549
341,AUD,AUD_6M,27/04/1993,15/12/1993,2,30Y,0.079834428
342,AUD,AUD_6M,28/04/1993,29/04/1993,0,3Y,0.064210658
343,AUD,AUD_6M,28/04/1993,29/04/1993,0,5Y,0.06980178
344,AUD,AUD_6M,28/04/1993,29/04/1993,0,7Y,0.073698831
345,AUD,AUD_6M,28/04/1993,29/04/1993,0,10Y,0.076901294
347,AUD,AUD_6M,28/04/1993,29/04/1993,0,30Y,0.077817802
348,AUD,AUD_6M,28/04/1993,16/06/1993,1,3Y,0.065248634
349,AUD,AUD_6M,28/04/1993,16/06/1993,1,5Y,0.070649151
350,AUD,AUD_6M,28/04/1993,16/06/1993,1,7Y,0.074387284
351,AUD,AUD_6M,28/04/1993,16/06/1993,1,10Y,0.07736492
353,AUD,AUD_6M,28/04/1993,16/06/1993,1,30Y,0.078098815
354,AUD,AUD_6M,28/04/1993,15/12/1993,2,3Y,0.069472872
355,AUD,AUD_6M,28/04/1993,15/12/1993,2,5Y,0.074164828
356,AUD,AUD_6M,28/04/1993,15/12/1993,2,7Y,0.077178652
357,AUD,AUD_6M,28/04/1993,15/12/1993,2,10Y,0.079269897
359,AUD,AUD_6M,28/04/1993,15/12/1993,2,30Y,0.079252561
360,AUD,AUD_6M,29/04/1993,30/04/1993,0,3Y,0.064411
361,AUD,AUD_6M,29/04/1993,30/04/1993,0,5Y,0.070002
362,AUD,AUD_6M,29/04/1993,30/04/1993,0,7Y,0.074499
363,AUD,AUD_6M,29/04/1993,30/04/1993,0,10Y,0.077601
365,AUD,AUD_6M,29/04/1993,30/04/1993,0,30Y,0.078545031
366,AUD,AUD_6M,29/04/1993,16/06/1993,1,3Y,0.065473749
367,AUD,AUD_6M,29/04/1993,16/06/1993,1,5Y,0.070865368
368,AUD,AUD_6M,29/04/1993,16/06/1993,1,7Y,0.075211709
369,AUD,AUD_6M,29/04/1993,16/06/1993,1,10Y,0.078070774
371,AUD,AUD_6M,29/04/1993,16/06/1993,1,30Y,0.078831353
372,AUD,AUD_6M,29/04/1993,15/12/1993,2,3Y,0.06988549
373,AUD,AUD_6M,29/04/1993,15/12/1993,2,5Y,0.074642737
374,AUD,AUD_6M,29/04/1993,15/12/1993,2,7Y,0.078153107
375,AUD,AUD_6M,29/04/1993,15/12/1993,2,10Y,0.080063792
377,AUD,AUD_6M,29/04/1993,15/12/1993,2,30Y,0.080043534
378,AUD,AUD_6M,30/04/1993,03/05/1993,0,3Y,0.064211
379,AUD,AUD_6M,30/04/1993,03/05/1993,0,5Y,0.069804843
380,AUD,AUD_6M,30/04/1993,03/05/1993,0,7Y,0.07430233
381,AUD,AUD_6M,30/04/1993,03/05/1993,0,10Y,0.077404654
383,AUD,AUD_6M,30/04/1993,03/05/1993,0,30Y,0.078345563
384,AUD,AUD_6M,30/04/1993,16/06/1993,1,3Y,0.065207001
385,AUD,AUD_6M,30/04/1993,16/06/1993,1,5Y,0.070590536
386,AUD,AUD_6M,30/04/1993,16/06/1993,1,7Y,0.074951614
387,AUD,AUD_6M,30/04/1993,16/06/1993,1,10Y,0.077834591
389,AUD,AUD_6M,30/04/1993,16/06/1993,1,30Y,0.078606653
390,AUD,AUD_6M,30/04/1993,15/12/1993,2,3Y,0.069644564
391,AUD,AUD_6M,30/04/1993,15/12/1993,2,5Y,0.07432546
392,AUD,AUD_6M,30/04/1993,15/12/1993,2,7Y,0.077869432
393,AUD,AUD_6M,30/04/1993,15/12/1993,2,10Y,0.079808343
395,AUD,AUD_6M,30/04/1993,15/12/1993,2,30Y,0.079805851
396,AUD,AUD_6M,03/05/1993,04/05/1993,0,3Y,0.064311
397,AUD,AUD_6M,03/05/1993,04/05/1993,0,5Y,0.069905118
398,AUD,AUD_6M,03/05/1993,04/05/1993,0,7Y,0.074301396
399,AUD,AUD_6M,03/05/1993,04/05/1993,0,10Y,0.077504817
401,AUD,AUD_6M,03/05/1993,04/05/1993,0,30Y,0.078456932
402,AUD,AUD_6M,03/05/1993,16/06/1993,1,3Y,0.065258474
403,AUD,AUD_6M,03/05/1993,16/06/1993,1,5Y,0.070686126
404,AUD,AUD_6M,03/05/1993,16/06/1993,1,7Y,0.074939479
405,AUD,AUD_6M,03/05/1993,16/06/1993,1,10Y,0.077929554
407,AUD,AUD_6M,03/05/1993,16/06/1993,1,30Y,0.078714814
408,AUD,AUD_6M,03/05/1993,15/12/1993,2,3Y,0.069693182
409,AUD,AUD_6M,03/05/1993,15/12/1993,2,5Y,0.074429867
410,AUD,AUD_6M,03/05/1993,15/12/1993,2,7Y,0.077882185
411,AUD,AUD_6M,03/05/1993,15/12/1993,2,10Y,0.07992755
413,AUD,AUD_6M,03/05/1993,15/12/1993,2,30Y,0.079929693
414,AUD,AUD_6M,04/05/1993,05/05/1993,0,3Y,0.066660871
415,AUD,AUD_6M,04/05/1993,05/05/1993,0,5Y,0.07210888
416,AUD,AUD_6M,04/05/1993,05/05/1993,0,7Y,0.076004294
417,AUD,AUD_6M,04/05/1993,05/05/1993,0,10Y,0.079006365
419,AUD,AUD_6M,04/05/1993,05/05/1993,0,30Y,0.079915805
420,AUD,AUD_6M,04/05/1993,16/06/1993,1,3Y,0.067704157
421,AUD,AUD_6M,04/05/1993,16/06/1993,1,5Y,0.072895834
422,AUD,AUD_6M,04/05/1993,16/06/1993,1,7Y,0.07664114
423,AUD,AUD_6M,04/05/1993,16/06/1993,1,10Y,0.079443032
425,AUD,AUD_6M,04/05/1993,16/06/1993,1,30Y,0.080181989
426,AUD,AUD_6M,04/05/1993,15/12/1993,2,3Y,0.07244363
427,AUD,AUD_6M,04/05/1993,15/12/1993,2,5Y,0.076681439
