,Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
0,AUD,AUD_6M,01/04/1993,02/04/1993,0,3Y,0.068180159
1,AUD,AUD_6M,01/04/1993,02/04/1993,0,5Y,0.074407928
2,AUD,AUD_6M,01/04/1993,02/04/1993,0,7Y,0.078203896
3,AUD,AUD_6M,01/04/1993,02/04/1993,0,10Y,0.08100527
5,AUD,AUD_6M,01/04/1993,02/04/1993,0,30Y,0.081902915
6,AUD,AUD_6M,01/04/1993,16/06/1993,1,3Y,0.070258421
7,AUD,AUD_6M,01/04/1993,16/06/1993,1,5Y,0.075909084
8,AUD,AUD_6M,01/04/1993,16/06/1993,1,7Y,0.07940376
9,AUD,AUD_6M,01/04/1993,16/06/1993,1,10Y,0.081845115
11,AUD,AUD_6M,01/04/1993,16/06/1993,1,30Y,0.08242112
12,AUD,AUD_6M,01/04/1993,15/12/1993,2,3Y,0.075592539
13,AUD,AUD_6M,01/04/1993,15/12/1993,2,5Y,0.079736179
14,AUD,AUD_6M,01/04/1993,15/12/1993,2,7Y,0.082395961
15,AUD,AUD_6M,01/04/1993,15/12/1993,2,10Y,0.083936898
17,AUD,AUD_6M,01/04/1993,15/12/1993,2,30Y,0.083713222
18,AUD,AUD_6M,02/04/1993,05/04/1993,0,3Y,0.068017697
19,AUD,AUD_6M,02/04/1993,05/04/1993,0,5Y,0.074103026
20,AUD,AUD_6M,02/04/1993,05/04/1993,0,7Y,0.078000727
21,AUD,AUD_6M,02/04/1993,05/04/1993,0,10Y,0.080802319
23,AUD,AUD_6M,02/04/1993,05/04/1993,0,30Y,0.081702716
24,AUD,AUD_6M,02/04/1993,16/06/1993,1,3Y,0.06997193
25,AUD,AUD_6M,02/04/1993,16/06/1993,1,5Y,0.075543638
26,AUD,AUD_6M,02/04/1993,16/06/1993,1,7Y,0.079156775
27,AUD,AUD_6M,02/04/1993,16/06/1993,1,10Y,0.081604197
29,AUD,AUD_6M,02/04/1993,16/06/1993,1,30Y,0.082197861
30,AUD,AUD_6M,02/04/1993,15/12/1993,2,3Y,0.075062677
31,AUD,AUD_6M,02/04/1993,15/12/1993,2,5Y,0.079377879
